Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
01.07.2020;203,140;206,350;201,770;204,700;EUR;32061206
02.07.2020;205,680;208,020;205,000;206,260;EUR;29315762
06.07.2020;208,834;211,130;208,090;210,700;EUR;31897629
07.07.2020;210,450;214,670;207,990;208,250;EUR;33600732
08.07.2020;210,070;213,260;208,690;212,830;EUR;33600025
09.07.2020;216,330;216,380;211,470;214,320;EUR;33121681
10.07.2020;213,620;214,080;211,080;213,670;EUR;26177633
13.07.2020;214,480;215,800;206,500;207,070;EUR;38135606
14.07.2020;206,130;208,850;202,030;208,350;EUR;37591820
15.07.2020;209,560;211,330;205,030;208,040;EUR;32179409
16.07.2020;205,400;205,700;202,310;203,920;EUR;29940653
17.07.2020;204,470;205,040;201,390;202,880;EUR;31635281
20.07.2020;205,000;212,300;203,010;211,600;EUR;36884836
21.07.2020;213,660;213,940;208,030;208,750;EUR;38105777
22.07.2020;209,200;212,300;208,390;211,750;EUR;49605692
23.07.2020;207,190;210,920;202,150;202,540;EUR;67457035
24.07.2020;200,420;202,860;197,510;201,300;EUR;39826989
27.07.2020;201,470;203,970;200,860;203,850;EUR;30160867
28.07.2020;203,610;204,700;201,740;202,020;EUR;23251388
29.07.2020;202,500;204,650;202,010;204,060;EUR;19632602
30.07.2020;201,000;204,460;199,570;203,900;EUR;25079596
31.07.2020;204,400;205,100;199,010;205,010;EUR;51247969
03.08.2020;211,520;217,640;210,440;216,540;EUR;78983009
04.08.2020;214,170;214,770;210,310;213,290;EUR;49280056
05.08.2020;214,900;215,000;211,570;212,940;EUR;28858621
06.08.2020;212,340;216,371;211,550;216,350;EUR;32656843
07.08.2020;214,850;215,700;210,930;212,480;EUR;27820421
10.08.2020;211,670;211,880;206,350;208,250;EUR;36716462
11.08.2020;207,155;207,650;203,140;203,380;EUR;36446459
12.08.2020;205,290;210,280;204,750;209,190;EUR;28041364
13.08.2020;209,440;211,350;208,150;208,700;EUR;22588870
14.08.2020;208,760;209,590;207,510;208,900;EUR;17958936
17.08.2020;209,600;211,187;208,915;210,280;EUR;20184757
18.08.2020;210,530;212,360;209,210;211,490;EUR;21336167
19.08.2020;211,490;212,100;209,250;209,700;EUR;27627561
20.08.2020;209,540;215,000;208,910;214,580;EUR;26981478
21.08.2020;213,860;216,250;212,850;213,020;EUR;36249319
24.08.2020;214,790;215,520;212,430;213,690;EUR;25460147
25.08.2020;213,100;216,610;213,100;216,470;EUR;23043696
26.08.2020;217,880;222,090;217,360;221,150;EUR;39600828
27.08.2020;222,890;231,150;219,400;226,580;EUR;57602195
28.08.2020;228,180;230,644;226,580;228,910;EUR;26292896
31.08.2020;227,000;228,700;224,310;225,530;EUR;28774156
01.09.2020;225,510;227,450;224,430;227,270;EUR;25791235
02.09.2020;227,970;232,860;227,350;231,650;EUR;34080839
03.09.2020;229,270;229,310;214,960;217,300;EUR;58400288
04.09.2020;215,100;218,360;205,190;214,250;EUR;59664072
08.09.2020;206,500;210,030;202,200;202,660;EUR;52924330
09.09.2020;207,600;214,840;206,700;211,290;EUR;45678986
10.09.2020;213,400;214,740;204,110;205,370;EUR;35461514
11.09.2020;207,200;208,630;201,240;204,030;EUR;33620073
14.09.2020;204,240;209,200;204,030;205,410;EUR;30375768
15.09.2020;208,420;209,780;206,930;208,780;EUR;21823942
16.09.2020;210,620;210,650;204,640;205,050;EUR;26372464
17.09.2020;200,050;204,330;199,960;202,910;EUR;34011257
18.09.2020;202,800;203,650;196,250;200,390;EUR;55225326
21.09.2020;197,190;202,710;196,380;202,540;EUR;39839657
22.09.2020;205,060;208,100;202,075;207,420;EUR;33517065
23.09.2020;207,900;208,100;200,030;200,590;EUR;30803780
24.09.2020;199,850;205,570;199,200;203,190;EUR;31202493
25.09.2020;203,550;209,040;202,540;207,820;EUR;29437312
28.09.2020;210,880;212,570;208,060;209,440;EUR;32004936
29.09.2020;209,350;210,070;206,810;207,260;EUR;24464472
30.09.2020;207,730;211,980;206,540;210,330;EUR;33829088
01.10.2020;213,490;213,990;211,320;212,460;EUR;27158418
02.10.2020;208,000;210,990;205,540;206,190;EUR;33154781
05.10.2020;207,220;210,410;206,980;210,380;EUR;21331561
06.10.2020;208,820;210,180;204,820;205,910;EUR;28554261
07.10.2020;207,060;210,110;206,720;209,830;EUR;25681054
08.10.2020;210,510;211,190;208,320;210,580;EUR;19925837
09.10.2020;211,230;215,860;211,230;215,810;EUR;26458047
12.10.2020;218,790;223,860;216,810;221,400;EUR;40461368
13.10.2020;222,720;225,210;220,430;222,860;EUR;28950843
14.10.2020;223,000;224,220;219,130;220,860;EUR;23451713
