Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
25.06.2024;448,250;451,420;446,750;450,950;EUR;16747529
26.06.2024;449,000;453,600;448,190;452,160;EUR;16507030
27.06.2024;452,175;456,170;451,770;452,850;EUR;14806324
28.06.2024;453,070;455,380;446,410;446,950;EUR;28362271
01.07.2024;448,660;457,370;445,660;456,730;EUR;17662818
02.07.2024;453,200;459,590;453,113;459,280;EUR;13979779
03.07.2024;458,190;461,020;457,880;460,770;EUR;9932830
05.07.2024;459,610;468,350;458,965;467,560;EUR;16000290
08.07.2024;466,550;467,700;464,460;466,240;EUR;12962321
09.07.2024;467,000;467,330;458,000;459,540;EUR;17228507
10.07.2024;461,220;466,460;458,855;466,250;EUR;18196100
11.07.2024;462,980;464,780;451,550;454,700;EUR;23111175
12.07.2024;454,325;456,360;450,645;453,705;EUR;16324274
15.07.2024;453,300;457,260;451,430;453,960;EUR;14429447
16.07.2024;454,220;454,300;446,660;449,520;EUR;17175679
17.07.2024;442,590;444,850;439,180;443,520;EUR;21754021
18.07.2024;444,340;444,650;434,400;440,370;EUR;20794822
19.07.2024;433,100;441,140;432,000;437,110;EUR;20940417
22.07.2024;441,790;444,600;438,913;442,940;EUR;15808755
23.07.2024;443,895;448,390;443,100;444,850;EUR;13107050
24.07.2024;440,450;441,480;427,585;428,900;EUR;26805800
25.07.2024;428,800;429,800;417,510;418,400;EUR;29943795
26.07.2024;418,200;428,915;417,270;425,270;EUR;23583839
29.07.2024;431,580;432,150;424,704;426,730;EUR;15125836
30.07.2024;427,720;429,050;417,360;422,920;EUR;32687578
31.07.2024;420,495;421,775;412,210;418,350;EUR;42891366
01.08.2024;420,785;427,460;413,090;417,110;EUR;30296400
02.08.2024;412,490;415,000;404,340;408,490;EUR;29437900
05.08.2024;389,170;401,040;385,580;395,150;EUR;40709238
06.08.2024;400,000;405,670;398,500;399,610;EUR;24946525
07.08.2024;408,635;410,080;397,470;398,430;EUR;20650906
08.08.2024;402,440;405,860;399,941;402,690;EUR;20203030
09.08.2024;404,030;408,050;402,262;406,020;EUR;19276666
12.08.2024;407,060;408,760;404,243;406,810;EUR;16762883
13.08.2024;409,590;414,950;409,570;414,010;EUR;19414271
14.08.2024;414,800;417,720;412,446;416,860;EUR;18266980
15.08.2024;419,800;421,110;417,660;421,030;EUR;20752144
16.08.2024;420,600;421,340;417,300;418,470;EUR;22775593
19.08.2024;418,960;421,750;416,460;421,530;EUR;15233957
20.08.2024;421,700;425,860;421,640;424,800;EUR;16387581
21.08.2024;424,075;426,400;421,720;424,140;EUR;16067298
22.08.2024;424,360;426,790;414,610;415,550;EUR;19361901
23.08.2024;416,980;419,260;412,090;416,790;EUR;18493784
26.08.2024;416,365;417,280;411,340;413,490;EUR;13152830
27.08.2024;412,860;414,360;410,250;413,840;EUR;13492911
28.08.2024;414,880;415,000;407,310;410,600;EUR;14882660
29.08.2024;414,940;422,050;410,600;413,120;EUR;17045241
30.08.2024;415,600;417,490;412,130;417,140;EUR;24308324
03.09.2024;417,910;419,880;407,030;409,440;EUR;20313603
04.09.2024;405,910;411,240;404,370;408,900;EUR;15135806
05.09.2024;407,620;413,100;406,130;408,390;EUR;14195516
06.09.2024;409,060;410,650;400,800;401,700;EUR;19609526
09.09.2024;407,240;408,650;402,150;405,720;EUR;15295134
10.09.2024;408,200;416,330;407,700;414,200;EUR;19594287
11.09.2024;415,500;423,990;409,580;423,040;EUR;19266923
12.09.2024;423,310;427,369;419,750;427,000;EUR;17418759
13.09.2024;425,825;431,830;425,460;430,590;EUR;15874555
16.09.2024;430,600;433,530;428,220;431,340;EUR;13834697
17.09.2024;440,230;441,850;432,270;435,150;EUR;18874231
18.09.2024;435,000;436,030;430,410;430,810;EUR;18898042
19.09.2024;441,225;441,500;436,900;438,690;EUR;21706559
20.09.2024;437,220;439,240;434,220;435,270;EUR;55167106
23.09.2024;434,280;436,460;430,389;433,510;EUR;15128891
24.09.2024;433,000;433,350;426,100;429,170;EUR;17015754
25.09.2024;429,830;433,119;428,570;432,110;EUR;13396364
26.09.2024;435,085;435,300;429,130;431,310;EUR;14492044
27.09.2024;431,520;431,850;427,470;428,020;EUR;14896131
30.09.2024;428,210;430,420;425,370;430,300;EUR;16854606
01.10.2024;428,450;428,480;418,810;420,690;EUR;19092945
02.10.2024;422,580;422,820;416,710;417,130;EUR;16582257
03.10.2024;417,630;419,550;414,290;416,540;EUR;13686421
04.10.2024;418,240;419,750;414,970;416,060;EUR;19190913
07.10.2024;416,000;417,110;409,000;409,540;EUR;20919761
08.10.2024;410,900;415,660;408,170;414,710;EUR;19229261
09.10.2024;415,860;420,380;414,300;417,460;EUR;14974257
10.10.2024;415,225;417,350;413,150;415,840;EUR;13848376
11.10.2024;416,135;417,130;413,250;416,320;EUR;14144944
14.10.2024;417,770;424,040;417,520;419,140;EUR;16653086
15.10.2024;422,180;422,480;415,260;418,740;EUR;18900201
16.10.2024;415,170;416,360;410,480;416,120;EUR;15508932
17.10.2024;422,360;422,500;415,590;416,720;EUR;14820004
18.10.2024;417,140;419,650;416,260;418,160;EUR;17145317
21.10.2024;416,120;418,960;413,750;418,780;EUR;14206115
22.10.2024;418,490;430,579;418,040;427,510;EUR;25482197
23.10.2024;430,855;431,080;422,530;424,600;EUR;19654379
24.10.2024;425,325;425,978;422,400;424,730;EUR;13581631
25.10.2024;426,760;432,520;426,565;428,150;EUR;16899064
28.10.2024;431,655;431,940;426,300;426,590;EUR;14882444
29.10.2024;428,000;433,170;425,800;431,950;EUR;17644080
30.10.2024;437,435;438,500;432,100;432,530;EUR;29749149
31.10.2024;415,360;416,160;406,300;406,350;EUR;53970981
01.11.2024;409,010;415,500;407,500;410,370;EUR;24230442
04.11.2024;409,800;410,415;405,571;408,460;EUR;19672286
05.11.2024;408,370;414,900;408,080;411,460;EUR;17626011
06.11.2024;412,420;420,450;410,520;420,180;EUR;26681842
07.11.2024;421,280;426,850;419,880;425,430;EUR;19901782
08.11.2024;425,320;426,500;421,780;422,540;EUR;16891414
11.11.2024;422,515;424,810;416,000;418,010;EUR;24503321
12.11.2024;418,250;424,440;417,200;423,030;EUR;19401204
13.11.2024;421,640;429,325;418,210;425,200;EUR;21502185
14.11.2024;425,000;428,170;420,000;426,890;EUR;30246881
15.11.2024;419,820;422,800;413,640;415,000;EUR;28247644
18.11.2024;414,870;418,404;412,100;415,760;EUR;24742013
19.11.2024;413,110;417,940;411,550;417,790;EUR;18133529
20.11.2024;416,870;417,290;410,580;415,490;EUR;19191655
21.11.2024;419,500;419,780;410,289;412,870;EUR;20780162
