Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
25.06.2024;989,300;995,650;988,940;995,620;USD;0
26.06.2024;991,010;996,640;989,920;996,250;USD;0
27.06.2024;991,410;997,830;988,760;996,800;USD;0
28.06.2024;992,640;997,890;991,790;995,280;USD;0
01.07.2024;991,690;999,020;990,670;998,890;USD;0
02.07.2024;993,790;999,560;993,200;999,560;USD;0
03.07.2024;994,730;1.000,150;994,430;1.000,030;USD;0
04.07.2024;995,530;1.001,050;995,460;1.001,050;USD;0
05.07.2024;995,910;1.002,640;995,530;1.002,420;USD;0
08.07.2024;997,750;1.002,530;997,140;1.001,620;USD;0
09.07.2024;997,370;1.002,150;997,070;1.000,410;USD;0
10.07.2024;996,200;1.002,780;995,790;1.002,730;USD;0
11.07.2024;998,160;1.003,060;997,580;1.000,190;USD;0
12.07.2024;995,340;1.001,360;994,640;1.000,440;USD;0
15.07.2024;995,960;1.001,890;995,350;1.000,980;USD;0
16.07.2024;996,490;1.001,640;995,960;1.000,910;USD;0
17.07.2024;995,100;999,430;993,500;999,190;USD;0
18.07.2024;995,740;999,580;994,350;999,450;USD;0
22.07.2024;993,360;1.000,050;993,360;999,470;USD;0
23.07.2024;994,760;1.001,830;994,190;1.000,430;USD;0
24.07.2024;994,990;999,170;993,700;994,910;USD;0
25.07.2024;990,570;996,880;990,480;991,810;USD;0
26.07.2024;987,740;996,550;986,860;995,220;USD;0
29.07.2024;992,680;996,850;991,250;995,570;USD;0
30.07.2024;990,170;996,440;989,930;995,250;USD;0
31.07.2024;986,890;996,370;983,660;994,400;USD;0
01.08.2024;991,260;999,470;990,230;995,620;USD;0
02.08.2024;989,030;995,450;986,120;991,830;USD;0
05.08.2024;976,600;988,680;970,470;977,400;USD;0
06.08.2024;977,040;986,010;976,190;980,930;USD;0
07.08.2024;978,510;987,940;976,890;977,190;USD;0
08.08.2024;973,720;984,900;973,680;983,270;USD;0
09.08.2024;979,160;988,420;978,500;987,670;USD;0
12.08.2024;983,370;989,000;983,180;987,840;USD;0
13.08.2024;984,260;995,200;983,680;994,940;USD;0
14.08.2024;990,060;996,620;989,240;996,260;USD;0
15.08.2024;992,310;997,640;991,290;997,450;USD;0
16.08.2024;994,240;998,290;992,410;996,890;USD;0
19.08.2024;992,560;999,540;992,420;999,540;USD;0
20.08.2024;995,320;1.001,450;995,130;1.001,090;USD;0
21.08.2024;996,460;1.002,020;995,790;1.001,380;USD;0
22.08.2024;996,680;1.002,480;996,190;997,120;USD;0
23.08.2024;993,780;1.001,600;993,780;999,940;USD;0
26.08.2024;995,960;1.001,690;995,780;999,680;USD;0
27.08.2024;994,660;1.000,440;993,630;1.000,330;USD;0
28.08.2024;995,400;1.000,460;995,020;998,490;USD;0
29.08.2024;993,700;1.005,290;993,660;999,950;USD;0
30.08.2024;996,260;1.003,310;995,920;1.003,230;USD;0
02.09.2024;998,640;1.004,760;997,890;1.004,260;USD;0
03.09.2024;998,940;1.004,860;997,890;999,350;USD;0
04.09.2024;993,180;1.002,890;993,180;1.001,300;USD;0
05.09.2024;996,940;1.004,150;995,880;1.000,740;USD;0
06.09.2024;996,240;1.003,510;994,670;998,670;USD;0
09.09.2024;995,020;1.002,400;995,010;1.001,270;USD;0
10.09.2024;996,210;1.006,000;995,980;1.005,560;USD;0
11.09.2024;1.000,250;1.008,250;999,940;1.008,000;USD;0
12.09.2024;1.003,990;1.009,880;1.002,790;1.009,880;USD;0
13.09.2024;1.005,290;1.012,420;1.005,110;1.012,200;USD;0
16.09.2024;1.007,170;1.013,190;1.006,920;1.012,380;USD;0
17.09.2024;1.008,930;1.015,760;1.008,890;1.013,360;USD;0
18.09.2024;1.008,880;1.014,960;1.008,020;1.013,810;USD;0
19.09.2024;1.011,650;1.017,490;1.011,060;1.017,290;USD;0
20.09.2024;1.012,360;1.017,170;1.011,330;1.016,530;USD;0
23.09.2024;1.012,150;1.017,650;1.010,150;1.016,620;USD;0
24.09.2024;1.011,970;1.016,350;1.011,020;1.015,830;USD;0
25.09.2024;1.011,010;1.017,360;1.010,640;1.017,190;USD;0
26.09.2024;1.013,360;1.017,770;1.012,170;1.016,670;USD;0
27.09.2024;1.011,310;1.017,270;1.011,110;1.016,120;USD;0
30.09.2024;1.011,130;1.017,600;1.010,890;1.017,600;USD;0
01.10.2024;1.012,250;1.016,020;1.011,010;1.014,640;USD;0
02.10.2024;1.009,890;1.014,610;1.008,730;1.013,840;USD;0
03.10.2024;1.009,020;1.014,620;1.007,970;1.013,590;USD;0
04.10.2024;1.008,500;1.013,860;1.008,160;1.012,710;USD;0
07.10.2024;1.007,400;1.012,790;1.006,530;1.010,130;USD;0
08.10.2024;1.005,590;1.012,550;1.004,060;1.012,250;USD;0
09.10.2024;1.007,080;1.014,940;1.007,040;1.013,820;USD;0
10.10.2024;1.009,410;1.014,270;1.007,760;1.014,040;USD;0
11.10.2024;1.009,640;1.014,960;1.007,600;1.014,930;USD;0
14.10.2024;1.010,020;1.017,060;1.009,740;1.015,380;USD;0
15.10.2024;1.010,800;1.016,590;1.010,690;1.015,240;USD;0
16.10.2024;1.010,790;1.015,450;1.009,110;1.015,370;USD;0
17.10.2024;1.011,310;1.017,080;1.010,990;1.016,060;USD;0
18.10.2024;1.011,690;1.016,960;1.010,300;1.016,870;USD;0
21.10.2024;1.012,290;1.017,120;1.011,180;1.017,120;USD;0
22.10.2024;1.011,690;1.020,550;1.011,110;1.019,750;USD;0
23.10.2024;1.014,660;1.021,180;1.014,660;1.018,480;USD;0
24.10.2024;1.014,390;1.020,610;1.014,360;1.019,950;USD;0
25.10.2024;1.014,590;1.022,360;1.014,590;1.021,080;USD;0
28.10.2024;1.017,190;1.021,640;1.016,090;1.020,290;USD;0
29.10.2024;1.015,600;1.022,870;1.014,250;1.022,660;USD;0
30.10.2024;1.019,540;1.024,530;1.017,910;1.023,110;USD;0
31.10.2024;1.014,230;1.017,560;1.010,790;1.015,790;USD;0
01.11.2024;1.012,170;1.019,770;1.011,820;1.018,090;USD;0
04.11.2024;1.013,480;1.018,750;1.011,730;1.018,630;USD;0
05.11.2024;1.013,740;1.019,940;1.012,810;1.019,430;USD;0
06.11.2024;1.016,280;1.023,830;1.013,990;1.023,050;USD;0
07.11.2024;1.018,520;1.026,850;1.018,400;1.026,400;USD;0
08.11.2024;1.021,970;1.025,700;1.019,920;1.024,680;USD;0
11.11.2024;1.019,900;1.025,610;1.019,440;1.023,480;USD;0
12.11.2024;1.017,640;1.025,600;1.017,450;1.025,270;USD;0
13.11.2024;1.020,250;1.027,690;1.019,860;1.026,810;USD;0
14.11.2024;1.021,540;1.028,190;1.021,260;1.027,990;USD;0
15.11.2024;1.022,530;1.025,880;1.020,920;1.022,630;USD;0
18.11.2024;1.018,400;1.025,720;1.018,200;1.024,330;USD;0
19.11.2024;1.019,680;1.025,170;1.017,800;1.025,030;USD;0
20.11.2024;1.020,400;1.025,350;1.019,540;1.024,350;USD;0
21.11.2024;1.019,890;1.025,820;1.019,070;1.023,670;USD;0
22.11.2024;1.018,680;1.025,680;1.017,830;1.025,680;USD;0
25.11.2024;1.021,900;1.027,270;1.020,590;1.026,520;USD;0
26.11.2024;1.021,460;1.030,160;1.021,310;1.029,890;USD;0
27.11.2024;1.024,560;1.029,820;1.024,040;1.028,890;USD;0
28.11.2024;1.015,850;1.029,340;992,670;1.028,840;USD;0
29.11.2024;1.016,260;1.030,040;991,620;1.029,680;USD;0
02.12.2024;1.016,960;1.032,420;993,360;1.032,170;USD;0
03.12.2024;1.019,630;1.033,010;995,740;1.032,580;USD;0
04.12.2024;1.020,040;1.034,430;996,910;1.034,150;USD;0
05.12.2024;1.021,540;1.035,850;998,100;1.034,810;USD;0
06.12.2024;1.022,060;1.036,310;999,040;1.035,490;USD;0
09.12.2024;1.022,980;1.036,920;999,320;1.036,650;USD;0
10.12.2024;1.023,420;1.037,250;999,620;1.036,290;USD;0
11.12.2024;1.023,260;1.037,380;999,780;1.037,130;USD;0
12.12.2024;1.024,530;1.038,800;1.000,990;1.037,870;USD;0
13.12.2024;1.025,170;1.038,180;1.001,200;1.037,650;USD;0
16.12.2024;1.024,980;1.038,730;1.001,330;1.038,650;USD;0
17.12.2024;1.025,500;1.039,040;1.001,980;1.038,890;USD;0
18.12.2024;1.026,050;1.038,860;1.001,220;1.033,800;USD;0
19.12.2024;1.022,080;1.037,680;1.000,060;1.035,620;USD;0
20.12.2024;1.022,290;1.037,610;997,230;1.036,170;USD;0
23.12.2024;1.024,790;1.037,040;999,390;1.036,790;USD;0
27.12.2024;1.025,000;1.036,410;999,460;1.036,290;USD;0
30.12.2024;1.023,540;1.036,300;998,400;1.036,240;USD;0
02.01.2025;1.023,310;1.036,840;999,330;1.034,430;USD;0
03.01.2025;1.022,430;1.037,210;999,330;1.036,990;USD;0
06.01.2025;1.025,230;1.040,020;1.001,840;1.038,300;USD;0
07.01.2025;1.025,540;1.038,970;1.001,710;1.035,780;USD;0
08.01.2025;1.023,490;1.038,220;1.000,470;1.037,780;USD;0
09.01.2025;1.024,710;1.038,300;1.001,140;1.038,040;USD;0
10.01.2025;1.024,850;1.037,280;1.000,080;1.035,930;USD;0
13.01.2025;1.022,540;1.036,700;998,150;1.036,610;USD;0
14.01.2025;1.024,500;1.036,780;999,540;1.034,530;USD;0
15.01.2025;1.022,340;1.040,600;1.000,780;1.040,080;USD;0
16.01.2025;1.028,560;1.040,790;1.003,700;1.039,840;USD;0
17.01.2025;1.026,900;1.042,410;1.005,050;1.041,370;USD;0
20.01.2025;1.029,580;1.043,470;1.006,040;1.043,100;USD;0
21.01.2025;1.029,510;1.042,930;1.005,570;1.042,230;USD;0
22.01.2025;1.031,140;1.046,110;1.007,850;1.046,010;USD;0
23.01.2025;1.033,100;1.046,570;1.008,510;1.046,570;USD;0
24.01.2025;1.033,530;1.046,780;1.009,160;1.046,350;USD;0
27.01.2025;1.030,560;1.044,370;1.004,690;1.044,000;USD;0
28.01.2025;1.031,740;1.046,810;1.007,090;1.046,170;USD;0
29.01.2025;1.033,220;1.046,280;1.008,890;1.045,700;USD;0
30.01.2025;1.029,900;1.044,960;1.002,270;1.041,760;USD;0
31.01.2025;1.030,720;1.044,450;1.006,290;1.041,860;USD;0
03.02.2025;1.017,490;1.042,910;1.003,830;1.041,490;USD;0
04.02.2025;1.028,830;1.043,490;1.004,420;1.042,040;USD;0
05.02.2025;1.028,470;1.043,760;1.005,220;1.043,560;USD;0
06.02.2025;1.031,220;1.046,300;1.007,460;1.045,490;USD;0
07.02.2025;1.032,960;1.046,630;1.008,670;1.041,960;USD;0
10.02.2025;1.030,480;1.046,250;1.007,870;1.045,020;USD;0
11.02.2025;1.031,520;1.045,160;1.007,050;1.045,070;USD;0
12.02.2025;1.032,320;1.044,780;1.005,170;1.043,880;USD;0
13.02.2025;1.031,480;1.045,500;1.006,300;1.045,420;USD;0
14.02.2025;1.032,980;1.044,670;1.006,840;1.043,730;USD;0
17.02.2025;1.032,330;1.046,230;1.009,340;1.035,360;USD;0
18.02.2025;1.033,460;1.046,490;1.008,490;1.046,100;USD;0
19.02.2025;1.033,390;1.049,050;1.008,860;1.048,720;USD;0
20.02.2025;1.036,810;1.051,280;1.012,620;1.050,310;USD;0
21.02.2025;1.037,510;1.050,800;1.013,550;1.046,390;USD;0
